Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Bélem,SD Eibar,1,0.09,0.09,0.0
A. Leitner,DUX Logroño,2,0.18,0.18,0.0
A. Poljak,Madrid CFF,4,0.31,0.31,0.0
A. Zaremba,CD Tenerife,1,0.03,0.03,0.0
Aiara Agirrezabala,Real Sociedad de Fútbol,5,0.53,0.44,0.09
Ainhoa Marín,RC Deportivo de La Coruña,3,0.61,0.56,0.06
Ainoa Campo,Reial Club Deportiu Espanyol,1,0.62,0.0,0.62
Aithiara Carballo,CD Tenerife,3,0.49,0.46,0.03
Alba Cerrato,Sevilla FC,4,0.54,0.54,0.0
Alba Redondo,Real Madrid CF,1,0.28,0.28,0.0
Alba Ruiz,Madrid CFF,1,0.03,0.03,0.0
Amaiur Sarriegi,Club Atlético de Madrid Féminas,1,0.09,0.09,0.0
Andreia Jacinto,Real Sociedad de Fútbol,5,0.38,0.33,0.05
Ane Etxezarreta,SD Eibar,2,0.15,0.0,0.15
Anita Marcos,Madrid CFF,2,0.11,0.11,0.0
Ariana Arias,CD Tenerife,1,0.05,0.05,0.0
Arola Aparicio,Real Sociedad de Fútbol,5,0.81,0.81,0.0
Athenea del Castillo,Real Madrid CF,2,0.12,0.04,0.08
B. Amani,CD Tenerife,5,0.93,0.05,0.88
Bárbara Latorre,RC Deportivo de La Coruña,1,0.1,0.1,0.0
C. Hagel,Sevilla FC,2,0.12,0.12,0.0
C. Weir,Real Madrid CF,3,0.59,0.56,0.04
Carlota Suárez,CD Tenerife,2,0.78,0.34,0.44
Carmen Menayo,Club Atlético de Madrid Féminas,1,0.03,0.0,0.03
Cristina Baudet,Reial Club Deportiu Espanyol,1,0.08,0.0,0.08
Débora García,Sevilla FC,1,0.05,0.05,0.0
E. Botero,Reial Club Deportiu Espanyol,1,0.1,0.1,0.0
E. Nautnes,Madrid CFF,5,0.8,0.8,0.0
Elba Vergés,CD Tenerife,2,0.11,0.0,0.11
Elene Guridi,Real Sociedad de Fútbol,2,0.2,0.1,0.1
Emma Ramírez,Real Sociedad de Fútbol,1,0.47,0.47,0.0
Esther Laborde,Madrid CFF,2,0.06,0.06,0.0
Eva Navarro,Real Madrid CF,4,0.67,0.67,0.0
F. Angeldahl,Real Madrid CF,2,0.08,0.08,0.0
Fiamma Benítez,Club Atlético de Madrid Féminas,3,1.22,1.22,0.0
G. García,Club Atlético de Madrid Féminas,5,0.32,0.15,0.17
Gemma Gili,Sevilla FC,1,0.03,0.03,0.0
Gio Garbelini,Club Atlético de Madrid Féminas,4,0.57,0.57,0.0
Guereñu,SD Eibar,1,0.04,0.04,0.0
Iara,SD Eibar,3,0.29,0.0,0.29
Iris Arnaiz,Sevilla FC,1,0.03,0.03,0.0
Irune Dorado,Real Madrid CF,1,0.15,0.15,0.0
Isabel Álvarez,Sevilla FC,1,0.06,0.06,0.0
Isina,DUX Logroño,2,0.09,0.03,0.05
K. Cahynová,Real Sociedad de Fútbol,3,0.23,0.09,0.14
L. Ballesté,Reial Club Deportiu Espanyol,1,0.1,0.0,0.1
L. Caicedo,Real Madrid CF,1,0.03,0.03,0.0
Laura Camino,SD Eibar,5,0.27,0.2,0.07
Laura Martínez,Reial Club Deportiu Espanyol,1,0.37,0.37,0.0
Lauren Leal,Club Atlético de Madrid Féminas,1,0.51,0.0,0.51
Lorena Valderas,DUX Logroño,3,0.17,0.14,0.03
Luany,Club Atlético de Madrid Féminas,3,1.24,0.45,0.79
Lucía Martínez,RC Deportivo de La Coruña,1,0.03,0.03,0.0
Lucía Moral,Sevilla FC,3,0.13,0.13,0.0
Lucía Vallejo,Reial Club Deportiu Espanyol,1,0.03,0.0,0.03
M. Asenjo,DUX Logroño,2,0.14,0.14,0.0
M. Frohms,DUX Logroño,1,0.0,0.0,0.0
M. Lakrar,Real Madrid CF,1,0.03,0.03,0.0
M. Marcetto,Madrid CFF,3,0.91,0.91,0.0
Macarena Portales,Club Atlético de Madrid Féminas,3,0.18,0.18,0.0
Marina Artero,RC Deportivo de La Coruña,2,0.12,0.0,0.12
Marisa García,RC Deportivo de La Coruña,1,0.03,0.03,0.0
Marta Masferrer,DUX Logroño,1,0.05,0.0,0.05
María Méndez,Real Madrid CF,3,1.02,0.0,1.02
Mônica,Madrid CFF,1,0.79,0.0,0.79
Nahia Aparicio,Real Sociedad de Fútbol,1,0.05,0.0,0.05
Naima García,Reial Club Deportiu Espanyol,4,0.24,0.16,0.08
Nerea Eizagirre,Real Sociedad de Fútbol,4,0.97,0.18,0.79
O. Fergusson,Reial Club Deportiu Espanyol,1,0.05,0.05,0.0
Ona Baradad,Reial Club Deportiu Espanyol,2,0.69,0.69,0.0
Paola Hernández,CD Tenerife,1,0.03,0.03,0.0
Paula Arana,Reial Club Deportiu Espanyol,4,0.25,0.25,0.0
Paula Comendador,Real Madrid CF,2,0.08,0.08,0.0
Paula Fernández,Real Sociedad de Fútbol,4,0.21,0.12,0.09
Paula Monteagudo,RC Deportivo de La Coruña,1,0.1,0.0,0.1
Paula Rubio,DUX Logroño,1,0.07,0.0,0.07
Rosa Márquez,Sevilla FC,1,0.33,0.33,0.0
S. Bruun,Real Madrid CF,2,0.13,0.0,0.13
S. Däbritz,Real Madrid CF,3,0.12,0.06,0.06
S. Holmgaard,Real Madrid CF,1,0.05,0.05,0.0
S. Jensen,Club Atlético de Madrid Féminas,3,0.52,0.52,0.0
S. Ortíz,RC Deportivo de La Coruña,1,0.03,0.03,0.0
S. Ouzraoui Diki,CD Tenerife,4,0.66,0.63,0.03
Sara Martín,SD Eibar,1,0.03,0.03,0.0
Silvia Lloris,Club Atlético de Madrid Féminas,1,0.03,0.03,0.0
V. Bøe Risa,Club Atlético de Madrid Féminas,1,0.08,0.08,0.0
Z. Matthews,DUX Logroño,1,0.05,0.05,0.0
Ángela Sosa,Madrid CFF,2,0.06,0.03,0.03
