Player,Team,Minutes
A. Caruso,Bayern München,7.0
A. Ilestedt,Eintracht Frankfurt,69.0
A. Şehitler,Bayern München,22.0
B. Sterner,SGS Essen,13.0
C. Kramer,Bayer Leverkusen,65.0
E. Gonzalez,Bayer Leverkusen,25.0
G. Reuteler,Eintracht Frankfurt,76.0
G. Stanway,Bayern München,80.0
H. Raso,Eintracht Frankfurt,14.0
J. Damnjanović,Bayern München,83.0
J. Debitzki,SGS Essen,14.0
J. Feldkamp,SGS Essen,76.0
J. Meißner,SGS Essen,51.0
J. Teulings,Eintracht Frankfurt,21.0
J. Vidal,Bayer Leverkusen,32.0
K. Bühl,Bayern München,45.0
K. Kögel,Bayer Leverkusen,80.0
K. Piljić,Bayer Leverkusen,58.0
L. Bäcker,SGS Essen,14.0
L. Dallmann,Bayern München,67.0
L. Freigang,Eintracht Frankfurt,69.0
L. Gräwe,Eintracht Frankfurt,81.0
L. Köpp,SGS Essen,77.0
L. Oberdorf,Bayern München,10.0
L. Schüller,Bayern München,45.0
M. Berentzen,SGS Essen,14.0
M. Tanikawa,Bayern München,68.0
N. Anyomi,Eintracht Frankfurt,69.0
N. Ivelj,Eintracht Frankfurt,21.0
N. Kowalski,SGS Essen,39.0
P. Bartz,Bayer Leverkusen,25.0
P. Harder,Bayern München,23.0
R. Chiba,Eintracht Frankfurt,21.0
R. Grant,Bayer Leverkusen,65.0
R. Maier,SGS Essen,76.0
S. Van Belle,SGS Essen,76.0
V. Fudalla,Bayer Leverkusen,65.0
V. Haim,Bayer Leverkusen,25.0
V. Mädl,Bayer Leverkusen,10.0
İ. Açıkgöz,Eintracht Frankfurt,9.0
